customer_id,name,email,region,signup_date,is_premium,dob
201,Jamie Horne,bushrobert@hotmail.com,North,2022-10-22,No,2005-09-04
202,Aaron Johnson,kimberly02@gmail.com,north,2022-11-09,Yes,1996-07-20
203,Hunter Johnson,matthew58@wang.net,north,2023-11-30,Yes,1991-10-06
204,Logan Harris,davishannah@gmail.com,  south,2023-06-10,Yes,1990-11-02
205,Janice Andrews,dustin59@matthews-stevens.com,north,2023-02-05,No,1972-04-10
206,Allen Martinez,pbanks@lane.com,NORTH ,2022-10-13,Yes,1999-04-20
207,Shane Mack,christina78@hotmail.com,Central,2022-12-11,No,1993-10-22
208,David Walton DVM,joseph20@hotmail.com,Central,2024-01-18,No,1968-05-15
209,Olivia Nelson,currygeorge@hotmail.com,South,2022-09-15,No,1994-07-07
210,Julia Brown,pedro67@caldwell.biz,West,2023-12-23,No,1979-10-12
211,Nicole Werner,malik43@jones-roberts.biz,NORTH ,2023-02-01,No,1965-04-27
212,Janet White,duplicate@example.com,north,2023-12-21,Yes,1981-05-20
213,William Young,jeffreythompson@hernandez.com,north,2024-02-06,No,2001-07-12
214,Melissa Duffy,johnstoncraig@baldwin.net,Central,2023-06-07,Yes,2007-04-02
215,Lauren Nelson,doughertyjames@yahoo.com,West,2023-12-28,Yes,1989-05-07
216,Sharon Klein,brookseric@logan.com,NORTH ,2024-07-02,No,1983-10-09
217,Gwendolyn Bailey,kristen57@huynh.com,West,2024-04-01,No,1998-03-31
218,Mary Howard,brian96@gutierrez.com,  south,2023-05-05,No,1995-03-10
219,Aaron Howard,wmarks@hotmail.com,South,2024-01-19,No,1984-01-14
220,Phillip Martin,michael78@luna.com,West,2024-06-10,No,2001-06-18
221,Kathryn Turner,malexander@yahoo.com,north,2022-08-25,No,1972-11-25
222,Steven Middleton,carolmendez@yahoo.com,north,2024-03-31,No,1995-01-13
223,Rachel Rodriguez,smithdaniel@patel-mills.com,EAST,2023-05-29,No,1962-02-20
224,Amy Rollins,christopherpoole@ibarra.com,  south,2023-05-13,No,1983-03-14
225,Madison Patterson,josephseth@juarez.org,West,2024-05-30,Yes,1995-01-08
226,Elizabeth Shields,candiceclark@yahoo.com,north,2023-07-07,Yes,1963-05-30
227,Bill Cross,rfernandez@brown.info,East,2023-10-28,Yes,1960-03-12
228,Mr. Nicholas Morales Jr.,kwarner@valencia.com,  south,2023-10-31,No,1976-06-24
229,Michael Green,melissa82@gmail.com,EAST,2022-11-07,No,1994-05-08
230,Cassandra Fischer,melissa63@yahoo.com,West,2024-04-14,No,1969-11-03
231,Mr. Carlos Wilson MD,fvillanueva@townsend.com,East,2024-04-24,No,1995-04-25
232,Carrie Anderson,duplicate@example.com,EAST,2022-09-07,Yes,1987-02-17
233,Angela Smith DVM,qballard@hotmail.com,North,2023-11-03,No,1993-08-20
234,Monica Washington,ojensen@mitchell.com,East,2022-10-27,No,1977-11-12
235,Jennifer Hall,roger58@holmes.info,North,2022-08-22,No,1960-04-13
236,Andrew Ball,ybaird@hamilton.biz,  south,2023-01-20,No,2000-03-21
237,Alicia Erickson,masonpamela@yahoo.com,North,2023-03-26,No,1989-08-06
238,Karen Fernandez,andrewbooth@hodge.info,  south,2024-07-15,Yes,1999-06-12
239,Juan Murphy,foxsteven@gmail.com,NORTH ,2024-03-07,No,1993-05-08
240,Joseph Dyer,chadroman@yahoo.com,North,2022-11-14,Yes,2002-03-21
241,Travis Maxwell,sandra68@yahoo.com,Central,2024-06-10,Yes,2003-02-24
242,Rebekah Scott,theresakeller@gonzalez-burch.com,South,2024-07-14,No,1993-02-11
243,Erin Davis,williampage@holmes.biz,West,2022-08-08,No,1965-02-18
244,Paula Morton,petersonjuan@gmail.com,  south,2024-05-25,No,1964-07-15
245,Dean Gordon,james97@kramer-jones.com,NORTH ,2023-07-12,No,1994-01-20
246,Jenna Jones,eduardomurphy@rogers-johnson.com,North,2023-09-22,Yes,1982-03-04
247,Brian Johnson,zbailey@yahoo.com,West,2023-02-23,Yes,1997-01-29
248,Bruce Singleton,jonathan20@christensen-ferguson.org,South,2022-11-27,Yes,1962-03-25
249,Donna Carter,marqueztodd@cortez-nelson.info,EAST,2024-02-28,Yes,2005-09-14
250,William Clark,ylawrence@hotmail.com,NORTH ,2024-06-29,No,1996-12-08
251,Justin Charles,brad11@gmail.com,  south,2023-08-27,No,1972-12-10
252,John Hawkins,duplicate@example.com,Central,2023-10-22,No,1975-06-21
253,Anthony Bailey,michellenichols@holland.com,  south,2024-06-15,Yes,1977-10-09
254,Zachary Nunez,ramseyarthur@torres.com,Central,2024-07-21,Yes,2006-02-05
255,Kelsey Clay,danieldavis@thomas.org,EAST,2024-04-13,Yes,1968-12-15
256,Barbara Moses,smithjennifer@yahoo.com,Central,2022-08-24,Yes,2004-03-05
257,Shannon Jordan,tward@hotmail.com,East,2022-12-29,No,2000-08-19
258,Ernest Davis,jacksonjacob@yahoo.com,Central,2022-09-11,No,1965-04-15
259,Kimberly David,matthewduran@yahoo.com,Central,2023-06-28,No,1975-12-04
260,Janet Oliver,colin86@fuller.com,EAST,2024-04-08,No,1979-09-08
261,Barry Hunter,richardtorres@thomas.org,North,2023-05-25,No,1991-01-30
262,Jared Davis,barbarabeasley@espinoza.biz,Central,2023-07-20,Yes,1977-06-27
263,Chad Nichols,dawnperkins@yahoo.com,North,2023-10-12,No,2004-04-26
264,Michael Flores,hartamber@gmail.com,East,2023-08-30,No,2005-04-10
265,Mrs. Mary Villegas DVM,christophermcgee@atkins-hamilton.info,  south,2024-06-04,No,1972-05-29
266,Julie Hudson,nicholas14@rodriguez.com,NORTH ,2023-01-15,No,1978-03-15
267,Edwin Lam,sarahhudson@yahoo.com,  south,2023-07-06,No,2004-08-18
268,Jay Riley,robersonanthony@gmail.com,north,2022-10-26,Yes,2007-02-19
269,Joseph Adams,jensenelizabeth@webster-turner.com,north,2023-04-05,No,1967-08-06
270,Lisa Sanchez,ugonzalez@rodriguez-rodriguez.com,Central,2023-08-02,No,1997-06-23
271,Jeanne Patel,jyoder@hotmail.com,EAST,2022-09-13,Yes,1976-05-22
272,Jessica Tran,lfleming@mills.com,north,2024-06-08,No,1985-09-28
273,Anna Velazquez,caseyestes@gmail.com,NORTH ,2024-06-16,Yes,1964-03-01
274,Nathan Cannon,carrienorton@anderson.com,EAST,2024-01-04,No,1977-09-25
275,Justin Smith,matthew12@yahoo.com,West,2023-06-19,No,1966-12-06
276,Donna Harris DDS,micheleglover@yahoo.com,  south,2023-07-16,No,1991-09-06
277,Christina Salinas,alyssarussell@jennings.org,West,2023-11-30,No,1982-12-19
278,Jennifer Winters,nbaker@kennedy-jackson.com,Central,2023-12-17,No,1986-08-31
279,Michael Castillo,taylor28@yahoo.com,  south,2023-07-09,Yes,1977-04-06
280,Lisa Pratt,duplicate@example.com,West,2023-05-05,Yes,1960-10-22
281,Ryan Gomez,garciaheather@white.com,North,2024-06-21,No,1983-06-05
282,Robin Dixon,ksmith@gmail.com,South,2022-12-23,No,1983-06-11
283,Randy Hampton,tinamullins@yahoo.com,East,2024-06-26,No,1994-08-18
284,Michael Garcia,goodwinjessica@hotmail.com,Central,2022-07-29,No,1975-09-29
285,John Jacobson,jenniferjones@hotmail.com,  south,2023-07-23,No,1983-01-17
286,Rachel Diaz,patrickbenson@wilson-shields.com,EAST,2023-12-02,Yes,1961-01-29
287,Robert Miller,ronald00@yahoo.com,EAST,2024-04-06,Yes,1976-10-31
288,Kathryn Henry,jwebster@khan-bishop.com,Central,2022-08-03,No,1963-03-13
289,Brittany Sullivan,david59@rodriguez.info,EAST,2023-10-17,No,2001-07-29
290,Jesus Bryant,wlevine@alexander-harrison.info,Central,2023-09-29,No,1968-05-04
291,Sandra Finley,natalie30@wagner.info,  south,2024-02-14,Yes,1976-12-25
292,Joseph Hale,jamesmarquez@gmail.com,  south,2023-11-10,No,2002-06-05
293,Xavier Richards,baileysarah@simmons.com,EAST,2022-09-10,No,1990-08-29
294,Kathleen Flores,virginia48@hotmail.com,north,2024-01-30,Yes,1981-11-07
295,Sarah Hall,lhendricks@hotmail.com,West,2024-03-11,No,1968-01-28
296,Sherri Mcintosh,nicholas73@yahoo.com,NORTH ,2023-02-04,Yes,1962-04-13
